Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
365.8429443836212	11	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0007964977	0.0007964977	-0.43581223	0.48035383	0.8783175	0.35462496	0.52364403	30049	360588
395.775639295578	12	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.000809939	0.000809939	-0.5089456	0.5303424	0.86308324	0.34127492	0.5952538	30049	390637
425.9674918651581	13	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00084285473	0.00084285473	-0.55452853	0.616528	0.8069155	0.34650886	0.63522005	30049	420686
455.9424591064453	14	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00068006356	0.00068006356	-0.5548644	0.54496133	0.81107605	0.38199577	0.635972	30049	450735
486.0788583755493	15	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00082533545	0.00082533545	-0.4773971	0.4649496	0.8006115	0.3628208	0.5574583	30049	480784
516.1185872554779	16	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0006425921	0.0006425921	-0.54210806	0.5162797	0.8117695	0.44656277	0.62328494	30049	510833
545.9567203521729	17	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0006640662	0.0006640662	-0.46650666	0.442353	0.8041729	0.45465103	0.54692394	30049	540882
576.181654214859	18	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00060831144	0.00060831144	-0.4898652	0.44949943	0.7592633	0.34592196	0.56579155	30049	570931
606.4393539428711	19	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0009660667	0.0009660667	-0.41684273	0.5661908	0.8749847	0.34078085	0.5043412	30049	600980
636.4311792850494	20	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0009727197	0.0009727197	-0.452794	0.5941283	0.9493855	0.34405863	0.5477326	30049	631029
667.2178568840027	21	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0012180457	0.0012180457	-0.3616537	0.49998978	1.031531	0.35464394	0.4648068	30049	661078
697.3406100273132	22	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0018923092	0.0018923092	-0.31780994	0.6437903	1.1283022	0.3433465	0.43064016	30049	691127
727.0821630954742	23	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0017454235	0.0017454235	-0.33544615	0.7611152	1.0980465	0.34492037	0.4452508	30049	721176
757.6138596534729	24	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0019028003	0.0019028003	-0.16759324	0.37117127	1.1151369	0.26099756	0.27910691	30049	751225
788.6852147579193	25	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.001939754	0.001939754	-0.35163364	0.8331646	1.0724965	0.32434326	0.4588833	30049	781274
818.6040496826172	26	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0019000447	0.0019000447	-0.1339222	0.30571884	1.1500279	0.32386488	0.24892499	30049	811323
848.2770445346832	27	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0019469223	0.0019469223	-0.25908372	0.628599	1.131573	0.40091768	0.37224102	30049	841372
879.7677299976349	28	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0016910167	0.0016910167	-0.1903731	0.44080788	1.0177972	0.27579108	0.29215282	30049	871421
910.6900763511658	29	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0013530266	0.0013530266	-0.29794127	0.5142394	1.0342412	0.34894475	0.4013654	30049	901470
940.5527293682098	30	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0015382812	0.0015382812	-0.37282908	0.6924303	1.0557449	0.5280321	0.4784036	30049	931519
971.5531675815582	31	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0012668497	0.0012668497	-0.27741295	0.4532233	1.0096931	0.41752702	0.37838227	30049	961568
1001.6916611194611	32	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0009281577	0.0009281577	-0.32993233	0.40572444	0.9536937	0.2574793	0.42530167	30049	991617
1032.2759838104248	33	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0010784982	0.0010784982	-0.42705938	0.48237938	0.9322587	0.2735634	0.52028525	30049	1021666
1063.2852132320404	34	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0009823343	0.0009823343	-0.3539539	0.46767974	0.93070877	0.33900037	0.44702476	30049	1051715
1094.9259505271912	35	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00082148233	0.00082148233	-0.4567054	0.47480252	0.86158466	0.36247388	0.54286385	30049	1081764
1126.0212037563324	36	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0008043022	0.0008043022	-0.52317524	0.6049768	0.8677932	0.63058877	0.60995454	30049	1111813
1157.0973229408264	37	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00074186065	0.00074186065	-0.47121602	0.46583027	0.76660323	0.48096117	0.5478763	30049	1141862
1188.9025769233704	38	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.000711416	0.000711416	-0.5221431	0.48241338	0.7809484	0.49597606	0.60023797	30049	1171911
1220.3892390727997	39	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00057148753	0.00057148753	-0.5131052	0.5126491	0.7788701	0.45390007	0.5909922	30049	1201960
1252.4235508441925	40	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00054220634	0.00054220634	-0.5023862	0.36043704	0.7569935	0.4696849	0.5780856	30049	1232009
1287.3298139572144	41	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00059037853	0.00059037853	-0.536987	0.38817185	0.6930083	0.5023989	0.60628784	30049	1262058
