Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
1468.9615230560303	59	0.8643216	5.6003127	59.0	0.0	151.0	0.0	0.005723984	0.005723984	0.005723984	0.005723984	30049	1802940
1496.9962935447693	60	0.5829146	5.4920607	65.0	0.0	151.0	0.0	0.0038603614	0.0038603614	0.0038603614	0.0038603614	30049	1832989
1523.1156463623047	61	1.8994975	9.805134	82.0	0.0	151.0	0.0	0.012579453	0.012579453	0.012579453	0.012579453	30049	1863038
1549.4190435409546	62	1.2663317	6.9841475	60.0	0.0	151.0	0.0	0.008386303	0.008386303	0.008386303	0.008386303	30049	1893087
1574.3662221431732	63	1.6582915	9.226563	67.0	0.0	151.0	0.0	0.010982063	0.010982063	0.010982063	0.010982063	30049	1923136
1604.161633014679	64	0.47738692	5.925691	83.0	0.0	151.0	0.0	0.0031615028	0.0031615028	0.0031615028	0.0031615028	30049	1953185
1627.0086078643799	65	0.22613065	2.8486302	40.0	0.0	151.0	0.0	0.001497554	0.001497554	0.001497554	0.001497554	30049	1983234
1649.8743002414703	66	0.4874372	3.8695552	40.0	0.0	151.0	0.0	0.003228061	0.003228061	0.003228061	0.003228061	30049	2013283
1673.804343700409	67	1.2361809	7.960298	68.0	0.0	151.0	0.0	0.008186628	0.008186628	0.008186628	0.008186628	30049	2043332
1700.3164763450623	68	0.65829146	5.834726	69.0	0.0	151.0	0.0	0.004359546	0.004359546	0.004359546	0.004359546	30049	2073381
1726.3414845466614	69	1.3316582	7.201379	59.0	0.0	151.0	0.0	0.008818929	0.008818929	0.008818929	0.008818929	30049	2103430
1749.0236992835999	70	0.7487437	5.950988	67.0	0.0	151.0	0.0	0.0049585677	0.0049585677	0.0049585677	0.0049585677	30049	2133479
1771.9295771121979	71	0.7839196	5.5218654	52.0	0.0	151.0	0.0	0.0051915203	0.0051915203	0.0051915203	0.0051915203	30049	2163528
1795.2158484458923	72	1.0251256	6.2344775	53.0	0.0	151.0	0.0	0.0067889113	0.0067889113	0.0067889113	0.0067889113	30049	2193577
1818.3017795085907	73	1.442211	8.151545	82.0	0.0	151.0	0.0	0.009551067	0.009551067	0.009551067	0.009551067	30049	2223626
1841.5914902687073	74	1.9246231	8.823754	59.0	0.0	151.0	0.0	0.012745849	0.012745849	0.012745849	0.012745849	30049	2253675
