Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
541.3008365631104	54	-56.834266430112486	-1.2806468482647526	12.39427929249341	-36.58898282701418	-207.76523702091592	20.0	0.0	252	554400	-55.53179605279103	-1.356192164216165
550.6810207366943	55	-55.21528340185011	-1.2182748453743093	10.525475607144045	-36.05143975950738	-97.42349044235438	20.0	0.0	252	564480	-52.85880092927537	-1.0349523742569646
559.9010815620422	56	-53.52785700185549	-1.1631831349409438	9.577900418015721	-36.1999280683947	-102.49043358116667	20.0	0.0	252	574560	-51.36234693045526	-1.2278824456679505
569.0426104068756	57	-52.091285828503246	-1.1457039934810713	9.130904985086799	-36.74141496195501	-113.33965619933302	20.0	0.0	252	584640	-51.709189593554356	-1.0329578293426709
578.5701894760132	58	-51.63713177570524	-1.085712871773255	10.815843124175275	-32.968867992739575	-153.0118865185492	19.9875	0.2735758578529913	252	594720	-52.90588631480613	-1.1685310734979504
587.9722294807434	59	-51.89344468921847	-1.1050084504931164	10.84004806055863	-30.06429533062379	-119.43207317542961	20.0	0.0	252	604800	-51.80307611809703	-0.9534154278733654
597.3584237098694	60	-49.39142609876491	-1.0437755530637014	8.367591328622002	-30.58922182922217	-85.2919082490806	19.970833333333335	0.6383436683236459	252	614880	-49.10473565566732	-1.0337617855375567
607.4692361354828	61	-49.499757800131114	-0.9551279189942926	10.571986749804601	-32.68373147474165	-177.61556614381382	19.997916666666665	0.045595976308831845	252	624961	-49.364557334150184	-0.8595722999303238
616.9697000980377	62	-48.65148369488142	-0.9216115828806667	9.829761384587636	-32.023024662177306	-138.8257490326453	19.985416666666666	0.24536502003251298	252	635041	-44.87544359655222	-0.8452435335978472
626.1436479091644	63	-48.56345493613638	-0.9508852857512224	9.52171999711088	-31.36974045333188	-105.19696898411864	19.972916666666666	0.592747692014814	252	645121	-47.277184514129964	-0.9828071452272121
636.7112200260162	64	-46.69929591463245	-0.9486912814274044	8.328185868153831	-32.330296605304916	-113.16219728237878	20.0	0.0	252	655201	-45.06310195786346	-0.8690025159558861
647.5580394268036	65	-46.92766854954143	-0.9097292465997628	8.52200857663202	-30.283454441616744	-112.60735643638726	20.0	0.0	252	665281	-45.2132504646793	-0.8738817091939749
658.1538441181183	66	-45.472759888941724	-0.8668050997477282	8.34313029526064	-29.593508344319154	-112.77457636371662	20.0	0.0	252	675361	-44.83031438347212	-0.7906130269226826
668.1057736873627	67	-44.92253162103478	-0.7838682576028767	8.192703677284175	-30.172033595939673	-97.98618463104691	19.98125	0.41036378677948665	252	685441	-42.42879793727682	-0.8087562193447037
677.7453746795654	68	-43.336187195533995	-0.7421753009640617	7.663230672001105	-29.67835297926902	-79.50819209663644	20.0	0.0	252	695521	-44.069948903828994	-0.6917717750002571
687.5204858779907	69	-43.0175856648011	-0.6987916039677828	7.045467755580602	-29.690381917343633	-75.5829692953738	20.0	0.0	252	705601	-41.58862613202319	-0.689243527306517
697.0322666168213	70	-43.08483608203903	-0.6603632422210616	9.985294943815907	-25.007729430629954	-155.4039046510217	19.975	0.5471517157059823	252	715681	-41.49226736886238	-0.618643292144899
706.6539175510406	71	-41.39151409234337	-0.6300626564185452	6.368106379770787	-28.11261232487968	-71.829741681026	19.970833333333335	0.6383436683236458	252	725761	-39.668715634962076	-0.5937342473316894
716.2967579364777	72	-41.167289677734644	-0.5992680663961885	6.7819512067445675	-29.276605441057946	-76.10224170290941	20.0	0.0	252	735841	-39.94518257998373	-0.5933472011028791
726.0159931182861	73	-40.30573496520273	-0.5704551219503958	6.186958945973013	-26.44776102003316	-76.14216851412941	19.979166666666668	0.4559597630883184	252	745921	-38.52190587319862	-0.49587190514921636
735.7274551391602	74	-39.85136323214927	-0.5627694886281348	7.653316473740075	-27.58856204709986	-132.28616714061636	19.935416666666665	0.8599877865734811	252	756002	-38.23442269957482	-0.4388791187406696
745.3661618232727	75	-39.54329693418662	-0.5470089727962001	6.310246117666593	-26.053619033101835	-83.95995034995859	19.95	0.6904105059069325	252	766082	-38.8173536118916	-0.55424314162149
755.1260967254639	76	-38.96051191493294	-0.5532567001350912	6.48774912323044	-27.64144944893688	-81.38935817353007	19.989583333333332	0.2279798815441592	252	776162	-38.06110874683077	-0.5476706368044554
764.789834022522	77	-38.77818995177069	-0.5359413325527698	6.516879252161063	-26.521884568078097	-95.16493680815432	19.947916666666668	0.8109895147630182	252	786242	-38.39789686074532	-0.4771892665287671
774.4916346073151	78	-37.672703653417415	-0.482592804420315	5.624818926882097	-26.24307006887741	-70.46063358598887	19.941666666666666	0.7963022178935723	252	796322	-36.85074306404644	-0.5180438172229329
784.2356042861938	79	-37.88618693808702	-0.4746072466465404	7.130198719422116	-25.524939599373866	-85.99758983524636	19.96875	0.45307111748598583	252	806403	-37.28340821173902	-0.5083781513347146
793.9007842540741	80	-37.24625917235324	-0.48078543061930906	5.453463237658449	-26.647015491770617	-76.45594816459898	19.991666666666667	0.18238390523532735	252	816483	-37.86964434992495	-0.4315160926436333
803.5877604484558	81	-36.58637294455886	-0.4654655624735731	6.114143184953431	-24.379696450417658	-65.1553413492398	19.895833333333332	1.0633983130615838	252	826563	-36.4666343331829	-0.46923180000582326
813.3400654792786	82	-36.86998063094335	-0.44935545555367684	5.825480092089353	-26.40288726285276	-72.22162082277396	19.95625	0.7130936854065294	252	836643	-38.51280062473929	-0.4452872992545214
823.1563997268677	83	-36.4383963980728	-0.4561986871718267	6.18038310163648	-24.796863260224317	-91.22188320987266	19.9375	0.7854470595357356	252	846723	-36.82427529698782	-0.41717805514833284
832.7829723358154	84	-36.1160791510719	-0.4280715084345706	5.951901969886748	-25.898822931829507	-77.1793151414789	19.933333333333334	0.8034647195462633	252	856803	-35.299863516588296	-0.46078061794674374
842.4323651790619	85	-35.77405484588551	-0.4323346953111094	5.80896910204273	-25.295513417492117	-82.77458493084215	19.95625	0.5001692421904143	252	866883	-37.28649985684278	-0.3928387933729605
852.1395909786224	86	-35.33143771871264	-0.4071734666509866	6.581929640058089	-23.500767862780833	-100.01587658234638	19.877083333333335	1.179466613794369	252	876963	-34.97971896423478	-0.4483396858629292
861.7420649528503	87	-35.68699666967397	-0.4380575353426746	6.4099893571495175	-23.861199267540268	-74.76648299261177	19.960334029227557	0.47096566402626266	252	887024	-33.495065043357236	-0.41927723507066794
871.5974690914154	88	-35.19676442958723	-0.3887618846605479	6.290543603993964	-24.89480335783485	-70.75071086127701	19.941666666666666	0.7750896005552448	252	897104	-36.72311107349979	-0.4391337417512302
880.8698461055756	89	-35.21308197582524	-0.40583013174875887	6.013107288439675	-23.10399794257055	-62.600247943192464	19.846153846153847	1.2836857218433246	252	907185	-34.393133157586725	-0.4125530667491457
890.1166932582855	90	-35.98632895332028	-0.409516833118337	8.273838246905939	-23.628547924362437	-109.6898122654736	19.908333333333335	0.9810354507129472	252	917267	-34.6154781788241	-0.37524899151203384
899.3050429821014	91	-35.184196867336325	-0.3895115792938798	6.53731358404167	-23.471311734682697	-72.51856584072863	19.954166666666666	0.6785273064185079	252	927348	-34.43547919548457	-0.4108292431345697
908.567179441452	92	-34.751609142219586	-0.3981307453620598	6.985076097530359	-23.44404694008078	-99.2151331934144	19.902083333333334	1.0747072437283662	252	937428	-34.29329366967593	-0.4463208020931592
917.8266384601593	93	-34.664974815483674	-0.3789356270007863	6.225182236078267	-20.561882033784414	-70.80050318458656	19.935416666666665	0.8453277429823034	252	947508	-35.47480657444618	-0.3923054695624597
927.1770420074463	94	-34.931097143211126	-0.3791667130563213	7.699465746308169	-24.39077751120418	-115.62721716366852	19.904166666666665	1.1026404546461293	252	957588	-35.8025025956095	-0.4237338137900866
936.7124869823456	95	-34.43675691970848	-0.4133440525333516	6.772180638897128	-23.00918991417271	-86.53504751790368	19.954166666666666	0.696706039557255	252	967669	-33.857317863770795	-0.3635435040073811
946.0536558628082	96	-34.214114322533014	-0.36619802781749117	5.9572222408454945	-23.399517992843716	-70.24497927935676	19.88125	1.0450590593358828	252	977750	-36.763991805616335	-0.36079974193859937
955.289580821991	97	-34.34569890278255	-0.369823734440691	6.985360365441744	-22.249129695260553	-106.30968168323766	19.897916666666667	0.9810686315045561	252	987830	-34.17479813576311	-0.34197563618467147
964.576922416687	98	-34.07992522342552	-0.35916348048218283	6.371257584139522	-20.955263366945818	-89.2867402362669	19.925	1.0239832355398533	252	997910	-33.76309026051345	-0.3392066035673227
973.8330962657928	99	-34.027267332356615	-0.36004347224504374	6.718756572323901	-24.09623056313047	-91.66456005324095	19.891666666666666	0.994114625628699	252	1007990	-33.34791156152459	-0.3602469314125087
983.0953574180603	100	-34.00892686610652	-0.3454156231868756	6.496187421513599	-21.628299858746587	-74.934256960314	19.920833333333334	0.9905718746708331	252	1018070	-34.021674028060026	-0.3328549292252409
992.4700293540955	101	-33.4530984742106	-0.33535646420851906	6.874238755794829	-21.70613679795973	-97.07329178341065	19.914583333333333	0.9481318437092784	252	1028150	-33.878714396757225	-0.3107658208915545
1002.0594806671143	102	-33.595768617952686	-0.3260258538396029	7.465305674809838	-22.523529352896627	-119.64808251046789	19.954166666666666	0.6140569779932658	252	1038230	-34.50604345501985	-0.28366073341717685
1011.8481688499451	103	-33.47160234299469	-0.3195846448816252	6.879394298590221	-21.877499319474456	-97.36439481510168	19.908333333333335	0.9508402716661837	252	1048311	-33.7351726530577	-0.35017624771216527
